[array([[-0.02398207,  0.06651619,  0.08016843,  0.08266798, -0.05486006,
        -0.04325633, -0.03689791, -0.07270683,  0.09988615, -0.08982536,
         0.02591877,  0.0789129 ,  0.06076055,  0.07208086,  0.08420341,
        -0.05972234,  0.01586945, -0.06282414,  0.05958638,  0.11722271,
         0.06010472, -0.05814269, -0.0781008 ,  0.08121457,  0.06981008,
        -0.05959656, -0.05825246, -0.06459648,  0.08484659, -0.05533064,
         0.0877094 , -0.11090671,  0.06706323,  0.08246456,  0.06019969,
         0.07353574,  0.07818396,  0.07811283,  0.03495213, -0.03995001,
        -0.10208049, -0.05993656, -0.07052241, -0.11737313,  0.07589644,
         0.07043236,  0.05657165,  0.07187208,  0.0641656 ,  0.08998019],
       [ 0.02812127,  0.01960322, -0.00995011, -0.01574032, -0.07428226,
         0.02810288, -0.04177216,  0.04416894,  0.03938244,  0.05311056,
        -0.08280816,  0.02932393, -0.07340154, -0.03849391, -0.02158629,
         0.05106854, -0.00969257,  0.10551027, -0.07588217, -0.04389202,
        -0.0246997 ,  0.04849352, -0.01141669, -0.0152783 , -0.04049329,
         0.07495374,  0.11339486, -0.05634047, -0.01600185,  0.0372638 ,
         0.05356707, -0.01536887,  0.00203834,  0.03290818, -0.01115814,
        -0.00391068, -0.03032446, -0.00773741,  0.05206244,  0.00181189,
         0.05839177, -0.08128022,  0.03767661, -0.04696799, -0.06785612,
        -0.01627831,  0.07338633, -0.04588269,  0.1013248 ,  0.00063847],
       [ 0.09894327, -0.0228404 ,  0.01726964,  0.03119365,  0.02721193,
        -0.04641921, -0.00679883, -0.02135731,  0.00864759,  0.0090155 ,
        -0.01758948, -0.10556676, -0.06778768,  0.02918942, -0.04993958,
         0.05297781, -0.0053238 , -0.02039926, -0.05154391,  0.00331391,
         0.03419714,  0.04717809,  0.00965014, -0.01661794, -0.03025073,
         0.04961361, -0.01185882, -0.04257758,  0.02625283, -0.01364256,
         0.04858684,  0.02177753,  0.031031  , -0.13564426, -0.13105866,
        -0.02008592,  0.01522969,  0.05734134,  0.04124273,  0.10540164,
         0.0469719 , -0.00364001, -0.03144673, -0.03036806,  0.032385  ,
        -0.03711663, -0.00107382,  0.11439893, -0.07001702, -0.012919  ],
       [-0.02726352,  0.03664903, -0.00316989,  0.06514098, -0.06160164,
        -0.00611293,  0.01700996, -0.02620276, -0.00289893,  0.0173041 ,
         0.00307344,  0.0730101 ,  0.06861062,  0.03526764, -0.01996318,
         0.03912052, -0.03249096,  0.07049205, -0.12243523, -0.04797048,
         0.0089687 , -0.04367813, -0.03757375, -0.05519097,  0.02907856,
        -0.00966683,  0.06514758,  0.03687168, -0.09024409,  0.01092129,
        -0.02833149, -0.01758542,  0.00555057,  0.00463255,  0.06686243,
         0.06059704,  0.06103985, -0.00563828,  0.07604688, -0.04103965,
        -0.055799  ,  0.00371022, -0.05115914,  0.01934657,  0.02524838,
         0.06516471,  0.01991075,  0.01457889, -0.0499997 , -0.07188773],
       [-0.02563215,  0.03350002, -0.07882276, -0.00189914,  0.02880937,
        -0.02898162,  0.00336632,  0.05251458, -0.12449712, -0.00354817,
        -0.02251004, -0.04979637,  0.05443057, -0.05979817, -0.00617566,
        -0.05903235, -0.05818029, -0.03447753,  0.0327433 , -0.05899187,
         0.06854382,  0.03674605, -0.01528428, -0.01471407,  0.0214533 ,
        -0.02584785, -0.07512191, -0.01996795, -0.02716196,  0.08648472,
         0.09214925,  0.1007975 ,  0.02888453,  0.10302575, -0.03036366,
        -0.01911351, -0.0040472 , -0.01071568, -0.0034362 , -0.01600896,
         0.04449349,  0.02284966,  0.09231791, -0.01411402, -0.01418085,
         0.08705143, -0.01549667,  0.11880857, -0.00415715,  0.01304568],
       [-0.05331901, -0.07020327, -0.02064835, -0.01864283,  0.00370548,
         0.11847597,  0.03336877,  0.00688864,  0.03453144, -0.00196484,
         0.03986851,  0.08235903,  0.03107429, -0.02060039,  0.02047709,
         0.13504426, -0.03650606, -0.07735559, -0.00307761, -0.01799078,
        -0.05817733,  0.03271183,  0.04051187, -0.00724101, -0.02525796,
        -0.04838754, -0.08364056,  0.01353097, -0.00605721,  0.02146558,
        -0.01854025,  0.11215979, -0.1047852 , -0.10825404,  0.03043182,
         0.00749183,  0.00840598, -0.06977289, -0.0703311 ,  0.10228746,
         0.00933048,  0.02559966, -0.0621976 , -0.00845528,  0.05707231,
        -0.01679121, -0.04149423,  0.05463839, -0.09250673,  0.00486524],
       [ 0.056298  , -0.00661358, -0.00860061,  0.00676233, -0.0347739 ,
        -0.04693994,  0.0767004 ,  0.00827299, -0.06324067,  0.00735722,
         0.0456507 ,  0.00045994,  0.05194661, -0.02109414,  0.0328084 ,
         0.0454712 , -0.02738287,  0.06617413,  0.00501524,  0.05705403,
         0.04104202, -0.06744501,  0.02112709, -0.07439912,  0.00893801,
         0.06804366, -0.01601139,  0.03028002, -0.03043267,  0.01080386,
         0.02287064,  0.02004525,  0.05438093, -0.07290322,  0.01652226,
         0.05895628, -0.11454555, -0.03587317,  0.04773418, -0.00850699,
         0.00546991,  0.10262394,  0.01328154, -0.00205687,  0.03625737,
         0.00746769, -0.01882579, -0.02472064,  0.06844776,  0.02299208],
       [-0.04039534, -0.01531673,  0.03986515,  0.03314834, -0.05398033,
         0.029262  , -0.0325432 ,  0.05334629, -0.00753949, -0.02134327,
         0.00624063,  0.06073286,  0.10869623,  0.03313752,  0.00778781,
        -0.05316194,  0.0460241 ,  0.03715061, -0.05191905, -0.01529927,
         0.02338435, -0.05967106,  0.01807374,  0.06938816,  0.03477859,
        -0.08701452, -0.02817748,  0.07049143, -0.10390399, -0.03046556,
         0.00524291,  0.02586638, -0.03535264, -0.11403845,  0.11836764,
        -0.11373966, -0.00738197,  0.09907971, -0.02704693, -0.02310985,
         0.02236391, -0.01821115, -0.04885032, -0.04640792,  0.04154068,
        -0.03091463,  0.03611188,  0.02255777, -0.01414429, -0.05777997]], dtype=float32), array([  4.31994442e-04,   1.29637914e-03,   5.32695616e-04,
         4.72403161e-04,  -6.95070776e-04,  -1.53415429e-03,
         -2.40547676e-02,   9.90391895e-02],
       [  4.51482870e-02,  -2.26792246e-02,   5.17001227e-02,
         -3.32828201e-02,  -1.97979379e-02,   1.57683805e-01,
          6.80121081e-03,   4.12753448e-02,   2.98709832e-02,
         -1.13031203e-02,   1.99315697e-02,   1.67689510e-02,
          2.93353256e-02,   9.85383391e-02,   3.72336991e-02,
          4.22707424e-02,  -2.26948746e-02,  -7.82935508e-03,
          8.39316919e-02,   1.45337015e-01],
       [  1.02236316e-01,   3.97764184e-02,   1.38769805e-01,
          1.18873999e-01,   6.78673945e-03,   7.50786364e-02,
          9.13950503e-02,   5.36544546e-02,   3.20620164e-02,
         -7.77067468e-02,   1.56943146e-02,  -7.59374127e-02,
          2.34350152e-02,   9.25740749e-02,   8.78459029e-03,
          2.78303176e-02,  -2.84736808e-02,   7.81905800e-02,
          7.75070190e-02,   6.42336532e-02],
       [  7.76192471e-02,   1.12544410e-01,   4.79336046e-02,
          4.82883416e-02,   6.70769513e-02,   8.37020800e-02,
         -1.18064601e-02,   1.58783972e-01,   5.62151372e-02,
          4.91716862e-02,   8.39195698e-02,   9.78373885e-02,
          1.93780884e-02,   3.69093940e-02,   9.58271325e-02,
          3.23222317e-02,  -6.07343912e-02,   3.83046679e-02,
          7.77389705e-02,   8.89014304e-02],
       [ -3.14417742e-02,  -9.23635438e-02,  -2.38251351e-02,
          4.13374230e-02,   2.30447017e-02,   4.54516150e-02,
         -1.58892125e-02,  -5.14018815e-03,  -4.74284850e-02,
         -4.12837900e-02,  -1.06154587e-02,   2.86582783e-02,
         -1.19520007e-02,   2.86931340e-02,  -4.53809127e-02,
         -1.43445441e-02,   6.83522150e-02,  -3.68944742e-03,
          1.13806082e-02,   1.83894001e-02],
       [ -2.33029872e-02,  -1.21388264e-01,  -1.86924338e-02,
         -1.04611535e-02,   1.31709594e-02,   7.79308677e-02,
          1.08120674e-02,  -1.68305598e-02,   1.00605518e-01,
          3.80793773e-03,   1.35040069e-02,   2.82762218e-02,
          5.62939001e-03,   6.91940337e-02,   2.93764025e-02,
          6.09087311e-02,   5.72170354e-02,  -2.23338790e-02,
          8.06606282e-03,  -5.78288324e-02],
       [ -5.95165156e-02,   1.98553130e-02,  -3.47924046e-02,
         -2.11517140e-03,  -9.85390991e-02,  -2.81664338e-02,
          1.72891449e-02,   5.24459891e-02,   1.46344360e-02,
         -4.43779938e-02,   1.19145364e-02,   3.21186450e-03,
         -2.23488975e-02,  -4.18800488e-02,  -4.87488098e-02,
         -6.07805215e-02,  -4.72233146e-02,  -1.36317117e-02,
          3.95152681e-02,  -5.76033145e-02],
       [  3.60023417e-02,   8.90393276e-03,  -3.02669359e-03,
          1.21443151e-02,   7.26393685e-02,   5.91228083e-02,
          4.47230320e-03,   7.03402162e-02,   9.03994143e-02,
          1.25523314e-01,   7.91180357e-02,   1.30671740e-01,
         -1.93379335e-02,  -3.39425867e-03,   7.80806271e-03,
          4.65399586e-02,   2.55554374e-02,   8.31149668e-02,
          3.29982303e-02,  -3.97788174e-02],
       [  1.03039108e-01,   2.96184812e-02,   5.75067289e-02,
          1.01274095e-01,   3.84220034e-02,   7.23827407e-02,
          1.51759060e-02,  -5.72848320e-02,   3.24678011e-02,
          5.33785746e-02,   5.89268617e-02,   6.25069886e-02,
          6.82930648e-02,   9.27560478e-02,   1.32802427e-01,
          7.88022354e-02,   3.32837738e-02,   2.77880114e-02,
         -1.85852945e-02,   5.04973158e-02],
       [ -4.70061204e-04,   2.00941693e-02,   8.62818807e-02,
          2.53475308e-02,  -3.77138406e-02,  -2.26916373e-02,
         -8.18619132e-03,   5.18750697e-02,  -1.26330219e-02,
          1.00974917e-01,   5.87116741e-02,   8.83466229e-02,
          1.22693717e-01,   3.12684588e-02,   1.31696509e-02,
         -4.17053583e-04,   8.99432376e-02,   4.72384878e-02,
          4.73231338e-02,  -2.70822924e-03],
       [  8.59321728e-02,   1.06466375e-02,  -1.22886486e-01,
         -3.40013243e-02,  -1.29663693e-02,  -4.29903995e-03,
         -4.64440994e-02,  -3.04577891e-02,   3.49140838e-02,
         -3.55114602e-02,   7.86476769e-03,  -4.36091386e-02,
         -5.34641221e-02,   2.03900486e-02,  -2.70950310e-02,
         -4.94179409e-03,  -2.97558568e-02,   1.55047961e-02,
          6.69045448e-02,  -8.72386768e-02],
       [  3.70247848e-02,  -1.87075268e-02,  -3.02347820e-02,
         -6.44452795e-02,   1.59936789e-02,  -8.37413780e-03,
         -4.40596119e-02,   1.77688040e-02,  -9.25709121e-03,
         -2.32956279e-02,   1.41822174e-02,  -2.06109509e-02,
         -4.67795618e-02,   2.76360195e-02,   5.44636585e-02,
          6.28911704e-02,   4.02845070e-02,   7.24964589e-03,
         -7.74470493e-02,  -3.73202600e-02],
       [  4.58067022e-02,   1.25681795e-02,   1.29259482e-01,
          1.26836032e-01,   2.15284489e-02,   1.09998114e-01,
          6.67235181e-02,   5.79334199e-02,   2.37482451e-02,
          8.14998746e-02,   3.61450315e-02,   5.97430952e-02,
          5.73648959e-02,   1.12645850e-01,   3.10860090e-02,
          3.41223031e-02,   4.86028269e-02,   4.76117544e-02,
          6.04480542e-02,   1.22476675e-01],
       [  3.23475339e-02,   3.49606313e-02,   3.63699570e-02,
         -5.69299283e-03,   2.54568271e-02,   3.28543745e-02,
          4.19300385e-02,   2.29684338e-02,  -4.83735390e-02,
          1.22050375e-01,   6.38519526e-02,  -6.26748428e-02,
          6.10263646e-02,   9.33475196e-02,   5.92070408e-02,
          3.32186148e-02,   1.59159631e-01,   6.85802624e-02,
          1.06466822e-01,   5.89937419e-02],
       [ -2.77454574e-02,  -2.17713714e-02,  -1.05656400e-01,
         -1.02147050e-02,   2.45821550e-02,   1.08848428e-02,
         -2.99177803e-02,  -1.14818616e-02,  -6.02125935e-02,
          1.11018503e-02,  -8.61707851e-02,  -2.56692735e-03,
         -6.51246980e-02,   9.57400575e-02,  -5.04818708e-02,
         -5.42788953e-02,  -1.58779602e-02,   8.30955505e-02,
         -4.39546118e-03,   3.14988010e-02],
       [ -4.70858999e-02,  -6.19116947e-02,   6.53257072e-02,
         -6.15011081e-02,   7.15610087e-02,  -3.59607227e-02,
          1.61079168e-01,  -2.28571780e-02,  -1.94186457e-02,
         -7.07665086e-02,   6.28844649e-03,  -3.23467962e-02,
         -2.57818941e-02,  -6.50919676e-02,   8.53041857e-02,
         -5.73079288e-02,  -6.31179065e-02,  -6.25990555e-02,
          5.36512360e-02,   6.57803491e-02],
       [  2.49020029e-02,  -2.81835739e-02,   3.78585048e-02,
         -9.01679322e-02,   3.65457824e-03,   7.69491866e-02,
          1.03769265e-01,  -4.86725606e-02,  -8.56288895e-02,
         -2.97876000e-02,  -2.31756158e-02,  -7.44693307e-03,
         -6.28987849e-02,  -2.63516139e-02,  -5.14735430e-02,
         -3.79259093e-03,   8.86640698e-02,  -5.18626608e-02,
          6.46934658e-02,   1.96608137e-02],
       [  5.95682450e-02,   6.57300204e-02,   1.62898690e-01,
          8.64756629e-02,   4.78942730e-02,   8.49299952e-02,
         -7.31616840e-02,   3.09275743e-02,   1.49058685e-01,
          8.13169777e-02,   1.26274407e-01,   6.20191805e-02,
          1.07910573e-01,   8.14337581e-02,   2.61089299e-02,
          6.91841245e-02,   2.49539595e-02,  -2.44031809e-02,
          1.28771469e-01,   8.52747262e-02],
       [ -3.46360356e-02,   2.04295386e-02,  -1.07193608e-02,
         -1.83076374e-02,   4.60409075e-02,   1.76696088e-02,
         -6.64798394e-02,  -5.74681684e-02,  -8.36297590e-03,
         -3.26553248e-02,   6.84011951e-02,  -4.49256711e-02,
         -6.06600940e-02,  -1.50857484e-02,  -1.10676978e-02,
          2.67809369e-02,  -3.74848023e-02,  -2.15106569e-02,
          8.03016685e-03,  -7.39357155e-03],
       [ -2.14975271e-02,   2.66175438e-02,   7.00569451e-02,
          7.01230317e-02,   8.43607932e-02,   3.57038938e-02,
          1.77127421e-02,   8.01781490e-02,   1.38608679e-01,
          6.47737831e-02,  -2.28012968e-02,   1.15564711e-01,
          1.02047645e-01,   1.21617526e-01,   4.70103994e-02,
          6.70518428e-02,  -6.42560329e-03,   5.55131324e-02,
          4.84025516e-02,   1.06526025e-01],
       [ -5.11534745e-03,  -7.75473192e-02,  -3.22265811e-02,
          5.74276932e-02,  -3.30832154e-02,  -4.65909541e-02,
         -2.77957022e-02,   4.98411572e-03,  -7.28581697e-02,
          4.53270413e-02,  -1.05754659e-01,  -1.23416409e-01,
          6.75259624e-03,  -9.07604173e-02,   8.19006842e-03,
          4.88468297e-02,   7.07505271e-02,   5.32665253e-02,
          1.07873278e-02,   6.33446053e-02],
       [  7.16625378e-02,   3.26054282e-02,   2.53523272e-02,
         -2.67332364e-02,  -4.59970199e-02,   5.95540628e-02,
          7.83283729e-03,   6.41800687e-02,   2.88446024e-02,
          1.73862930e-03,   1.20156497e-01,  -1.30550954e-02,
         -3.97916660e-02,   2.37139203e-02,   1.02016971e-01,
          9.60238352e-02,   5.97943477e-02,   1.16075844e-01,
          8.11589956e-02,   1.36490706e-02],
       [  2.55105365e-02,   1.77943229e-03,   1.14743235e-02,
         -1.44089768e-02,   3.93363610e-02,   1.50175050e-01,
          4.79256921e-02,   3.10945348e-03,  -2.19057184e-02,
          7.07086474e-02,   9.54948515e-02,   1.35925919e-01,
          3.57409306e-02,   2.35576313e-02,   1.76688373e-01,
          2.45523658e-02,   1.95360184e-02,   4.72686216e-02,
          4.08643149e-02,   5.75230047e-02],
       [  2.44440492e-02,   1.94662362e-02,   6.27426058e-02,
